idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
1221D,-5.776392,2025-01-07T07:00:00+0000,0.0,1480.0,11.7,6.2,166.0,42.978607,204.0,PAJARES - VALGRANDE,99.0,-1.6,-1.4,-0.9,,,,,-1.4,,,,,,,235.0,,,,,,,,,,,,
1223P,-5.822748,2025-01-07T07:00:00+0000,0.0,370.0,1.7,0.2,176.0,43.132706,245.0,RONZÓN,95.0,2.6,3.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,
1226X,-5.476919,2025-01-07T07:00:00+0000,0.0,750.0,4.3,0.1,300.0,43.095177,180.0,CUEVAS DE FELECHOSA,80.0,4.7,4.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,
1234P,-5.819274,2025-01-07T07:00:00+0000,0.0,170.0,2.1,0.7,39.0,43.274883,70.0,MIERES-BAÍÑA,85.0,4.3,4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,
1249X,-5.873889,2025-01-07T07:00:00+0000,0.0,334.44,4.3,2.3,158.0,43.353333,148.0,OVIEDO,69.0,5.4,6.4,6.4,973.2,0.5,5.9,1014.0,1.1,19.3,13.0,0.0,8.4,,,,,,0.07,,,,,8.3,,,,
1272B,-6.386539,2025-01-07T07:00:00+0000,0.0,280.0,2.7,1.4,252.0,43.290276,252.0,SOUTU  LA BARCA,83.0,8.2,8.2,8.3,,,,,,,,,,,,,,,,,,,,,,,,
1276F,-6.256944,2025-01-07T07:00:00+0000,0.0,670.0,6.8,0.7,163.0,43.1,202.0,POLA DE SOMIEDO-DEPURADORA,84.0,6.3,6.3,7.6,,,,,,,,,,,,,,,,,,,,,,,,
1279X,-6.230729,2025-01-07T07:00:00+0000,0.2,240.0,11.1,4.2,250.0,43.425,275.0,CAMUÑO,74.0,9.4,9.4,10.3,,,,,,,,,,,,,,,,,,,,,,,,
1283U,-6.469998,2025-01-07T07:00:00+0000,0.0,60.0,16.7,4.3,269.0,43.569164,274.0,CABO BUSTO,72.0,11.1,11.2,12.6,1004.6,1.0,10.4,,,,16.0,0.0,11.4,,,,,,,,,,,,,,,
1297E,-7.017618,2025-01-07T07:00:00+0000,0.0,1020.0,10.1,3.2,186.0,42.768578,295.0,CERVANTES-BAZAL,84.0,3.5,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,
1302F,-6.472407,2025-01-07T07:00:00+0000,0.0,1310.0,1.6,0.6,360.0,42.95527,0.0,DEGAÑA  COTO CORTÉS,97.0,0.5,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,
1309C,-6.884876,2025-01-07T07:00:00+0000,0.0,780.0,7.7,3.2,188.0,43.027412,142.0,SAN ANTOLIN DE IBIAS-LINARES,76.0,5.2,5.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,
1327A,-6.673332,2025-01-07T07:00:00+0000,0.4,410.0,9.1,2.5,227.0,43.465553,197.0,ONETA,85.0,7.5,7.7,7.8,,,,,,,,,,,,,,,,,,,,,,,,
1331A,-7.031388,2025-01-07T07:00:00+0000,0.0,40.0,10.4,3.7,217.0,43.524723,197.0,CASTROPOL,67.0,11.0,11.5,11.5,,,,,5.6,,,,,,,140.0,,,,,,,,,,,,
1341B,-7.06098,2025-01-07T07:00:00+0000,0.0,340.0,22.7,13.1,186.0,43.415546,160.0,OURIA DE TARAMUNDI,69.0,9.2,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1342X,-7.082971,2025-01-07T07:00:00+0000,0.0,43.0,11.8,6.2,205.0,43.540653,162.0,RIBADEO  VILAFRAMIL,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344X,-7.361736,2025-01-07T07:00:00+0000,0.4,125.0,,,,43.43133,,MONDOÑEDO,83.0,9.3,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,
1347T,-7.357091,2025-01-07T07:00:00+0000,0.0,80.0,,,,43.651047,,BURELA,78.0,9.8,10.1,10.1,,,,,,,,,,,,,,,,,,,,,,,,
1351,-7.684866,2025-01-07T07:00:00+0000,0.3,90.39,13.3,6.2,223.0,43.78621,236.0,ESTACA DE BARES,90.0,10.2,10.3,10.6,1000.1,0.5,8.9,1010.9,8.8,8.7,6.0,0.0,11.6,,,,,,0.3,,,,,,,,,
1354C,-8.262222,2025-01-07T07:00:00+0000,0.2,4.0,,,,43.47639,,FERROL-A GRAÑA,87.0,10.2,10.8,10.8,1010.6,,,1011.1,8.8,,,,,,,178.0,,,,,,,,,,,,
